Dept 1,Dept 2,Dept 3,Dept 4,Dept 5,ltv
58,58,16,29,50,0
56,9,33,14,85,6044
24,13,24,52,16,4823
65,92,84,47,1,7451
62,51,95,71,99,7363
52,90,26,56,22,5367
60,11,69,42,23,6167
56,24,19,46,44,6051
5,84,30,96,80,6519
32,65,96,1,44,6210
13,2,89,87,11,6028
50,72,3,4,52,5559
68,75,44,10,91,6172
26,85,2,20,10,5111
27,28,80,73,78,6890
43,28,67,23,23,5580
13,25,74,2,10,3887
46,49,5,51,32,4691
16,39,17,43,3,4531
99,56,78,48,40,6743
89,32,63,27,93,5437
51,45,91,59,39,6607
97,9,53,48,78,6316
43,93,27,38,89,6606
25,0,85,86,88,6054
7,33,14,65,11,4965
57,17,58,60,6,5196
41,90,65,98,45,6704
58,47,76,67,91,6977
22,17,20,13,76,4950
49,83,76,7,3,6515
69,23,23,48,19,6868
12,97,71,57,33,6221
46,4,15,79,77,4665
26,41,59,30,13,0
94,77,87,98,14,6846
19,57,27,26,0,4869
11,58,90,99,94,6617
23,95,83,22,2,6693
15,46,65,36,84,6105
2,60,11,91,88,6726
60,79,11,84,21,5838
18,11,75,49,22,5454
98,8,84,16,1,7096
36,60,74,84,68,5956
33,95,9,76,1,5774
22,2,84,73,2,6518
78,62,73,46,72,7155
52,15,87,83,29,5343
12,64,67,59,6,5527
55,49,99,84,29,6802
38,62,26,89,82,6193
13,54,39,57,30,0
6,96,72,65,57,7214
99,70,68,85,97,7617
79,77,59,72,5,5658
44,47,40,62,1,6617
58,36,43,41,82,5784
43,80,64,63,3,5898
36,29,45,29,57,5682
28,84,66,49,88,5670
2,74,36,84,77,5884
94,39,26,80,87,6699
34,58,18,97,2,6797
17,94,14,46,25,5383
40,80,12,17,75,5489
85,36,44,10,12,6188
54,99,88,55,18,7410
0,77,1,4,6,4435
26,30,79,56,87,6137
96,33,5,53,2,5106
97,10,20,59,61,6593
23,46,65,54,35,6035
29,59,58,26,6,4993
0,39,86,70,16,6107
91,19,30,31,66,6095
16,42,83,30,8,5421
60,86,31,87,8,6043
93,20,22,27,69,6694
60,19,14,49,56,5233
90,34,20,58,51,6659
11,85,68,64,40,0
48,27,2,95,60,5462
11,53,5,35,84,5765
50,89,2,45,53,6262
65,8,37,40,51,3799
80,84,84,40,59,7920
50,52,98,97,2,6667
19,21,87,42,48,5442
28,75,34,86,77,6480
56,30,53,38,87,5666
39,97,79,64,21,4179
13,98,13,58,66,5955
69,44,74,90,92,6319
10,65,59,75,56,6713
63,87,23,96,17,6805
20,85,82,65,80,6971
54,62,67,73,42,0
13,77,25,10,88,5191
94,30,30,42,99,7044
88,30,86,41,13,6254
49,16,69,4,82,5727
42,75,63,34,14,6564
55,99,85,76,77,6368
69,10,29,66,8,4939
14,6,3,31,11,4545
88,95,78,29,26,7454
7,26,78,69,48,6884
50,32,84,23,22,5804
77,23,61,40,30,5551
2,84,19,27,36,5110
4,15,90,22,95,6915
93,5,61,6,78,5123
61,17,40,45,78,6226
2,50,6,97,94,5409
0,69,63,29,66,6552
77,50,4,42,22,4744
55,26,3,68,75,6221
78,32,89,70,87,6325
83,88,19,80,90,6684
99,34,47,72,92,6456
16,6,47,76,81,6181
39,33,10,77,15,5382
18,8,28,72,1,6443
39,55,6,56,35,5138
84,22,99,94,27,6223
79,88,35,8,66,5490
59,54,9,35,72,5148
0,64,72,26,30,6192
66,42,82,32,5,6394
25,42,51,23,19,0
51,51,41,53,76,5465
63,81,28,28,40,5370
53,46,15,67,53,4499
43,63,53,93,10,6294
0,46,91,71,73,7492
5,91,52,14,89,5741
38,51,46,68,66,7049
39,76,59,58,60,6195
81,49,28,23,81,6439
50,80,31,52,99,7565
69,21,15,73,41,5770
27,71,90,42,88,6198
90,17,66,97,12,5354
30,77,98,28,14,5977
29,12,43,11,85,5875
5,6,29,31,0,3812
99,90,48,43,11,5900
56,38,69,62,38,6715
23,3,67,39,3,6423
80,85,90,72,24,6684
35,41,61,37,92,5634
57,3,81,14,90,6917
98,74,35,71,91,7624
56,64,91,4,12,5898
68,17,32,65,22,5433
2,80,29,62,94,5961
72,73,72,29,83,0
49,69,37,31,84,6295
25,19,34,75,99,6114
94,2,71,83,82,6408
69,66,94,93,49,6152
72,29,67,81,59,6404
82,13,65,74,92,6296
47,91,20,88,76,6547
83,38,62,97,38,5537
44,7,82,59,68,6132
23,94,21,61,99,6869
51,19,37,14,0,4854
56,0,3,49,29,4329
16,6,26,40,22,4039
47,29,61,64,25,5978
46,81,92,60,82,7052
72,8,19,73,41,5039
27,55,86,17,72,6183
82,25,32,60,63,6969
52,68,69,67,24,6400
76,27,70,55,67,6778
4,44,11,16,48,5312
37,52,26,49,87,5953
75,82,15,50,37,6802
86,97,97,10,13,5815
24,3,36,41,17,4349
10,31,54,73,16,5101
13,80,69,67,54,6700
64,42,45,99,28,5604
52,48,60,94,63,6075
58,43,8,41,25,5418
79,30,90,52,52,6659
21,62,73,86,68,5899
48,9,76,56,53,6746
96,69,43,98,48,7029
97,19,1,23,81,5520
9,31,75,65,4,4998
95,90,77,74,91,7106
59,95,82,12,80,6037
92,58,45,82,24,5080
55,80,77,19,36,0
30,5,75,89,90,6713
14,74,89,70,37,6431
87,90,86,2,46,5374
17,11,48,3,17,4982
20,86,78,86,88,6554
13,52,66,22,14,4851
36,69,38,60,7,3086
74,86,16,27,62,5999
86,16,68,73,17,5988
58,51,86,91,20,6691
75,65,52,38,23,6505
8,53,24,72,23,5476
14,22,17,93,8,5331
91,89,10,46,90,5840
11,28,53,38,9,4266
99,84,5,84,48,6254
96,10,36,22,93,5587
82,68,14,89,98,6690
63,57,44,97,15,5851
53,79,34,13,53,7279
91,97,43,80,71,6991
89,42,22,71,0,5626
82,67,51,46,90,6893
76,17,68,43,47,5132
17,20,64,20,26,7100
31,19,45,64,19,4925
29,67,17,70,15,4920
81,32,91,35,17,6077
26,86,97,10,36,4276
42,69,21,97,32,6534
94,97,10,31,73,6813
5,83,26,12,68,5080
42,1,90,50,65,6009
80,86,74,53,98,6518
87,45,79,70,10,6168
59,35,7,26,43,4394
26,45,70,46,2,5604
45,5,58,17,64,5507
2,66,20,1,72,4460
10,39,10,13,94,4462
0,40,20,81,18,4382
55,43,71,4,56,4783
63,44,74,82,0,6082
0,18,61,75,96,6309
25,12,84,57,0,5394
47,75,49,95,16,6610
88,98,36,25,75,7088
39,12,83,46,40,5818
93,48,28,62,31,4738
32,5,78,3,94,6147
50,14,96,46,83,5850
96,17,38,73,2,7138
97,24,91,52,47,6884
84,14,3,26,99,5985
93,10,24,57,29,6033
34,91,93,12,43,5402
24,5,95,73,98,5098
50,19,15,55,70,5770
66,39,53,91,31,6851
39,3,14,44,82,5285
68,93,3,46,30,6374
91,50,22,28,93,5754
62,42,49,23,9,5123
29,86,38,59,84,6406
56,0,73,28,30,5303
93,74,42,49,21,6761
24,24,63,24,98,6349
49,98,34,46,43,6194
80,53,72,10,11,5516
23,26,21,5,68,4914
95,60,56,50,8,7574
30,79,36,82,23,6836
11,10,88,22,33,4764
14,56,42,2,77,5444
19,56,48,25,43,5384
36,67,58,51,50,5808
53,98,56,22,46,6512
88,35,76,50,91,6441
48,73,50,76,66,8027
18,53,81,37,58,6120
19,12,1,11,54,3908
70,49,1,84,99,6718
37,63,8,90,74,3364
88,26,90,4,80,5549
23,1,38,90,82,6345
84,50,6,13,76,5273
5,58,29,78,87,5935
74,90,95,96,31,8093
11,38,20,24,86,5563
93,17,54,89,83,7247
40,98,46,12,41,5643
2,32,43,1,21,5094
67,39,92,93,13,6192
65,15,75,56,38,6068
37,30,95,32,77,6663
11,81,34,8,25,5394
11,74,68,7,96,6625
76,72,41,35,72,7518
58,25,47,42,62,9101
83,91,87,0,53,6145
88,57,10,68,77,6249
81,84,53,60,48,7456
54,62,68,77,34,0
72,10,3,71,50,5766
63,91,77,44,65,6901
28,83,5,11,15,5479
45,1,39,4,46,4794
19,62,11,15,29,6112
19,84,69,8,2,5976
19,61,96,36,56,4407
16,14,18,76,49,5596
22,87,23,26,22,5146
75,10,71,23,9,5962
87,74,32,92,12,6482
27,68,16,35,19,3798
67,27,53,61,15,4960
52,93,29,83,31,6864
45,25,2,97,9,5449
36,80,43,93,27,6836
86,12,88,17,91,6093
98,65,68,47,17,6919
43,36,58,48,57,5925
97,10,34,88,28,6495
63,64,60,75,51,0
68,87,20,64,23,5827
83,63,56,79,75,6798
89,5,18,67,4,6032
25,94,17,8,33,6108
30,38,16,48,46,5617
48,35,8,35,70,6630
65,65,84,75,11,5307
41,3,35,54,38,5445
4,54,25,55,95,7119
56,48,13,12,23,4335
81,12,46,55,31,6147
39,23,17,13,31,5098
89,68,65,95,1,6913
62,59,6,14,47,6774
93,86,90,76,91,7279
90,29,1,93,66,6914
54,21,92,13,14,5436
49,13,33,2,43,6504
16,47,34,32,61,6548
96,60,86,54,91,7202
16,75,57,72,8,2667
74,29,17,47,80,8139
81,13,78,64,7,7076
10,46,91,32,36,5121
73,50,67,20,77,0
79,48,8,40,40,5818
65,30,96,47,62,6228
53,49,76,24,65,0
97,94,39,41,52,5213
44,91,62,92,29,5987
32,60,81,72,45,6953
60,53,35,38,98,6947
91,28,72,12,12,5820
37,34,51,26,94,6135
63,57,58,76,83,0
37,27,57,41,39,5339
73,64,65,64,26,0
97,78,88,51,35,6222
99,93,2,52,67,6633
45,68,35,74,87,6391
66,33,70,74,49,7176
11,23,18,7,68,5364
0,58,30,64,19,5883
89,19,52,50,31,5114
59,45,88,46,93,6052
59,87,60,18,82,6102
85,86,20,44,31,6189
93,16,37,58,0,5505
21,19,89,51,14,7026
40,73,50,59,22,2637
62,40,39,8,13,6199
12,7,18,29,91,5445
90,6,43,41,43,6146
89,2,68,49,51,6151
83,92,82,24,76,5726
78,23,75,49,56,5783
48,72,84,56,42,6238
15,83,91,37,76,7071
63,72,59,28,27,5477
17,58,18,44,46,6153
86,84,32,87,4,5397
99,61,95,83,97,7986
80,74,53,66,46,0
40,35,44,45,19,0
51,64,76,75,67,7841
75,92,51,15,95,7799
47,22,1,69,21,5280
93,62,27,22,1,5488
33,80,88,10,24,6383
52,62,61,38,18,0
1,42,30,64,58,5687
39,63,10,89,12,5894
92,62,23,49,12,5934
82,29,53,36,24,4604
34,45,54,81,16,4902
62,13,14,76,3,5401
2,44,19,9,24,4055
3,83,86,3,8,5829
56,47,28,57,88,5644
34,13,33,45,11,6009
63,47,89,78,65,7542
6,89,20,67,59,6107
27,60,35,89,28,6345
21,78,21,39,84,6195
30,6,66,95,67,6092
53,27,72,69,3,6010
44,29,20,52,47,4861
7,95,13,71,34,6218
83,1,68,59,79,6311
47,5,75,21,13,4812
11,65,81,25,29,5934
14,9,58,79,97,6126
24,73,48,11,85,5861
26,41,72,33,1,5708
62,49,98,51,93,7258
2,53,69,10,17,6234
73,92,19,6,87,7087
58,56,24,10,15,6494
63,38,54,0,73,5707
42,9,10,7,26,4590
18,31,51,74,25,8330
99,97,18,68,79,6190
66,87,94,39,66,7472
52,22,2,90,92,5994
92,71,9,20,77,6418
24,64,69,6,79,5905
49,89,36,37,56,5941
21,7,39,93,27,4933
13,48,63,22,69,5880
66,64,92,16,50,0
45,37,62,33,69,4446
10,55,18,66,48,5089
50,12,66,48,96,6526
8,79,58,41,93,6220
11,22,35,35,82,5184
71,50,85,98,80,6585
76,63,55,30,70,3273
76,6,57,77,88,6178
79,75,46,50,97,6166
14,35,67,12,62,5750
87,55,0,21,0,5108
33,77,5,96,93,6851
21,44,8,53,0,4664
28,62,8,86,84,6213
86,5,79,39,61,6289
14,74,12,39,30,5618
69,58,33,29,44,5063
48,62,75,74,58,7862
5,58,9,65,38,5339
32,53,71,44,33,5364
78,30,53,75,97,7006
4,47,90,66,80,6753
57,20,4,59,70,5451
5,48,30,38,81,5423
63,24,56,83,98,6200
10,46,51,18,50,5906
45,82,0,20,49,5528
86,99,81,71,64,7765
10,81,72,97,38,6324
33,96,10,76,64,5151
81,14,92,58,5,5817
88,86,98,56,93,7506
83,41,50,72,82,6615
62,16,12,25,58,6401
50,34,58,84,72,7204
98,62,34,19,6,5963
46,67,40,50,86,7218
73,40,35,63,74,0
59,31,31,95,98,6545
57,54,75,5,79,6360
18,38,39,35,8,4868
39,22,36,45,23,5488
28,55,83,43,72,6454
80,61,93,84,5,7674
9,12,12,60,36,5906
76,74,11,54,43,5795
76,81,58,70,12,6327
99,7,61,9,7,6109
37,48,8,88,32,5939
56,62,48,11,17,5981
85,54,47,71,0,5944
72,3,19,73,75,6529
27,90,85,33,91,7289
42,11,62,76,95,5853
93,29,21,98,36,6976
34,43,51,60,82,0
76,80,66,19,64,6820
89,26,40,65,86,6063
81,62,18,21,60,5880
68,22,43,94,78,7012
27,24,93,47,68,6299
11,25,54,39,25,5751
99,71,87,16,56,6793
41,39,99,49,34,6231
22,24,11,66,38,5598
9,96,29,27,98,5931
17,8,12,18,77,5083
28,95,46,88,87,6535
98,88,43,80,67,6970
60,75,41,96,83,7224
95,71,89,21,35,5225
51,85,64,20,51,6557
41,59,24,65,33,6314
59,27,87,46,96,5846
66,93,6,52,1,6470
48,98,95,22,87,6183
87,17,5,33,35,5183
8,91,72,75,50,6583
72,37,60,23,98,6369
18,30,40,18,3,5764
46,54,72,59,82,5953
96,81,25,61,38,6199
32,77,51,33,22,5541
31,70,38,75,69,4401
4,2,7,38,1,5446
81,50,6,29,95,5054
65,0,14,85,52,5634
51,47,33,90,20,4956
83,57,59,67,58,6738
81,33,72,40,36,6106
40,73,38,52,76,5648
36,70,69,18,24,6224
73,85,63,62,90,6035
86,17,49,45,65,6385
31,73,25,52,95,5962
94,73,96,35,10,7500
96,91,13,19,39,6482
11,32,6,85,79,5508
16,94,61,66,56,6161
86,66,59,59,8,5903
46,89,88,18,36,0
48,6,15,56,69,4673
39,17,26,26,74,4739
16,4,39,46,31,5269
62,94,29,17,2,5188
48,71,54,29,19,5465
15,19,21,73,21,5165
37,36,84,71,2,4528
91,25,42,58,68,6074
94,83,7,85,56,6879
39,25,51,77,12,6042
74,26,76,18,62,4992
13,77,6,60,62,4784
78,29,80,81,31,6624
18,57,89,80,91,7577
84,36,30,70,27,8775
40,39,75,69,64,7799
44,9,75,82,67,4794
7,6,8,79,23,5728
52,26,74,74,27,6139
93,87,40,89,18,7078
14,11,90,29,8,6492
35,30,23,85,61,5816
80,3,98,90,24,6778
97,42,87,41,14,6596
29,74,9,55,91,7045
70,2,82,78,76,5983
95,50,54,0,7,4652
6,7,45,0,65,4110
93,66,58,11,30,6599
99,50,68,17,86,6666
6,45,14,86,23,4791
32,47,93,97,8,6594
41,30,63,62,0,5862
96,32,98,90,8,6527
4,53,10,57,30,5719
42,32,28,2,55,5021
52,89,64,14,3,6005
75,85,87,32,80,6764
22,90,92,78,84,7036
46,61,61,88,80,6430
12,71,39,34,90,6271
25,50,3,43,28,4747
40,60,54,1,61,5563
48,73,64,27,93,6912
47,15,13,50,78,6485
61,23,28,99,97,6146
67,91,29,84,70,5895
59,49,38,50,94,5085
15,92,95,13,56,6140
77,48,30,67,75,0
43,46,44,51,94,6535
64,29,24,15,53,4890
10,51,42,66,96,0
16,57,15,98,17,5384
56,71,63,82,75,6569
61,15,58,31,72,6070
57,36,18,69,23,5077
52,4,93,3,40,6154
88,64,13,42,38,5859
56,80,31,79,82,1510
84,28,42,0,88,5748
86,91,74,49,25,6679
76,43,72,75,51,6225
88,68,4,94,29,7522
92,14,36,61,84,7050
60,19,25,33,2,5470
88,64,78,82,43,7552
31,64,61,91,52,7539
82,5,66,92,68,6576
76,43,63,75,24,5358
69,13,89,91,21,5841
41,9,91,84,4,5849
3,74,20,83,66,5321
97,93,95,89,11,7333
13,8,49,93,80,3833
86,46,17,4,11,6184
32,87,25,53,4,4936
2,83,99,51,62,6222
43,93,76,61,51,6824
26,73,62,39,59,5669
16,24,87,93,3,6307
0,28,77,42,41,6538
58,52,23,74,16,5642
29,80,7,58,46,4446
66,38,13,1,36,5265
31,95,32,76,63,6703
30,70,18,83,59,3455
33,62,45,34,51,6340
83,65,20,91,58,6482
84,88,44,59,71,7129
9,88,16,88,61,6706
43,19,83,24,23,5931
65,63,97,4,54,5787
1,64,52,78,12,5826
22,22,68,41,67,5638
53,2,3,89,19,7290
7,33,72,4,30,5970
46,98,99,43,35,8092
68,74,22,54,85,0
32,58,29,36,73,6268
36,33,61,24,21,5256
53,70,52,93,50,7343
73,2,80,35,73,5581
21,3,40,4,22,5052
42,65,77,65,54,5869
39,28,55,7,79,5953
27,27,2,98,27,5035
40,25,25,84,20,5818
56,52,44,88,15,6115
71,96,57,89,4,7434
87,53,38,52,2,6149
48,86,43,40,29,5948
73,68,8,36,60,5657
35,24,44,26,8,4408
27,37,5,44,85,4270
46,47,25,45,7,5318
90,96,5,18,52,6715
13,12,56,68,41,6612
69,27,22,22,50,4725
32,38,59,13,96,5786
47,39,63,52,43,6056
44,15,62,97,5,5959
68,92,24,60,89,7388
43,55,72,7,37,5403
85,56,63,39,34,6144
75,36,23,20,70,6556
71,1,83,85,94,6734
87,66,10,58,36,5298
50,16,91,44,48,5832
28,91,11,80,9,6510
23,70,18,37,64,4755
21,80,36,49,52,6275
89,35,79,7,10,4637
97,21,59,17,14,4926
17,51,96,66,78,6589
80,14,47,17,27,5778
35,59,19,41,18,6026
8,6,27,49,75,4730
17,52,88,79,30,6033
38,88,7,98,84,6569
12,84,48,85,69,6783
45,46,20,69,40,4987
42,25,4,38,32,4360
39,19,34,44,28,5420
45,60,67,51,46,6262
46,5,53,47,65,4562
75,76,86,54,24,6240
36,4,90,5,87,6751
48,26,50,94,45,7013
85,39,18,39,66,6474
2,13,85,62,5,5372
86,98,57,73,40,7130
18,83,58,40,56,6162
46,0,93,67,54,5481
44,96,3,73,88,6345
62,38,85,90,93,7980
24,62,10,56,9,4755
30,52,83,2,52,5914
83,71,39,98,35,5989
71,90,95,5,96,7021
3,81,94,40,21,5763
60,37,99,71,0,6444
67,32,73,59,93,7402
63,69,76,42,95,7655
24,65,84,84,19,0
68,56,31,11,49,0
49,36,45,47,90,5949
73,26,54,22,34,6124
30,48,60,39,23,0
28,98,15,86,76,6641
25,53,1,71,3,4403
72,2,30,73,48,5386
66,53,69,22,98,6279
54,69,44,75,94,6278
35,12,12,25,65,4829
44,21,8,91,73,5938
61,85,81,17,60,0
91,92,90,74,60,6730
49,67,36,43,90,6309
2,26,22,65,42,4118
66,56,93,76,7,6599
82,50,88,71,35,6653
62,28,96,89,58,7373
21,68,34,0,99,6614
90,48,20,10,65,6168
65,63,10,8,1,5304
99,3,78,81,90,6473
93,71,82,83,49,7882
43,30,92,81,84,5748
32,9,76,62,63,6100
13,16,53,81,32,6190
11,63,33,72,57,5419
94,95,65,56,6,5502
51,42,1,60,92,6380
17,24,38,29,45,5020
52,59,89,59,80,6455
6,94,10,96,78,6513
18,33,47,33,79,5461
27,29,40,38,64,5655
84,1,41,55,75,6655
40,76,52,56,13,3743
9,38,94,77,1,5795
41,48,36,74,36,5209
95,83,11,70,5,6270
99,70,31,96,49,6683
35,27,54,77,3,5777
49,11,17,50,73,6153
75,60,65,35,61,6542
9,61,29,59,80,5647
21,75,32,31,79,5986
86,25,14,94,36,6019
73,84,38,62,54,0
35,87,70,87,19,0
4,4,52,79,48,5382
19,23,3,4,8,4130
48,54,18,34,58,0
7,91,23,32,19,4765
90,20,88,75,40,6864
90,9,60,0,46,6587
62,17,3,51,18,5924
44,79,5,3,1,5303
62,12,3,12,15,4714
80,46,27,97,85,6709
89,61,57,34,23,6467
45,83,43,63,14,6087
75,31,89,53,69,6934
85,55,18,76,29,5723
22,57,20,60,26,5573
5,88,17,58,33,5473
28,86,55,0,30,5544
64,70,36,42,63,6916
93,98,67,4,16,6362
49,23,0,73,10,5307
37,55,95,2,19,5131
3,77,91,70,32,6070
57,59,85,44,3,5307
91,44,90,16,71,6371
33,23,22,28,84,5601
62,80,58,54,64,6470
65,96,54,82,47,6996
83,6,50,59,93,6239
63,23,84,97,56,5484
86,19,5,7,38,5134
59,14,71,10,94,6522
46,25,78,64,13,4988
95,24,49,37,86,7040
10,92,71,86,75,7255
5,6,95,14,34,4560
15,72,11,13,87,5591
48,69,81,19,28,5558
97,11,1,11,82,6252
73,57,26,47,19,5427
98,81,38,80,55,6990
24,83,62,87,25,0
43,38,24,6,16,4782
91,37,40,19,97,6043
37,74,93,66,14,5923
78,66,74,98,85,6317
17,44,61,51,18,5693
45,39,16,54,46,5110
64,34,88,8,13,5455
57,14,82,87,49,7125
95,79,54,74,74,6601
63,86,39,42,83,7180
66,17,39,87,83,6798
13,20,20,10,44,4597
34,35,43,8,1,5273
82,33,63,53,72,6601
82,80,17,36,18,5651
90,54,85,18,71,7529
73,60,25,41,72,4952
68,70,46,22,48,5974
27,34,95,73,13,5250
0,49,74,67,36,6513
59,69,27,80,84,0
41,69,20,85,73,1448
67,80,19,78,25,5877
85,38,70,56,40,4461
15,22,2,4,72,4697
14,25,13,41,32,5382
25,66,19,18,38,5334
48,68,94,19,20,5330
80,8,82,63,52,7656
99,44,81,94,79,7674
80,24,23,79,41,6233
25,32,37,52,23,0
66,87,29,71,81,8206
4,50,52,46,73,5280
69,72,5,93,44,5842
35,14,73,80,44,6119
6,19,84,72,73,6072
66,27,44,73,35,7574
70,27,37,4,84,5777
59,68,52,33,82,6658
56,26,28,56,89,5894
33,25,4,61,91,5981
55,55,69,15,73,0
74,29,91,81,82,6771
17,98,21,53,47,5353
33,20,46,42,38,5918
39,93,56,10,75,6441
75,44,25,63,85,6910
31,61,61,91,25,0
28,39,50,91,63,5732
74,61,23,52,69,0
34,95,55,38,24,6404
71,65,65,92,17,5611
58,94,40,41,67,7402
74,12,50,24,30,4950
1,1,77,4,74,4916
78,94,31,75,1,7837
31,86,84,64,43,6526
95,53,98,39,96,7722
92,73,94,34,21,6678
24,21,20,72,83,6020
68,61,9,27,63,7008
53,76,7,39,44,5998
82,58,22,79,1,6561
